index,start,end,timecode,duration,lead,reveal,hold,exit,speaker,text
27,90.721,93.440,01:30.721,2.719,0.200,1.029,1.240,0.250,Narration,"Jackie eases Ives down with her arm."
28,93.440,96.817,01:33.439,3.377,0.000,1.827,1.300,0.250,Jackie,"Every lesson, every exam, every terrible day."
29,96.817,100.791,01:36.816,3.974,0.000,2.324,1.400,0.250,Jackie,"You were there, and you didn't ask anything from me in return."
30,100.791,102.670,01:40.791,1.879,0.400,0.429,0.800,0.250,Ives,"Kid..."
31,102.670,105.791,01:42.669,3.121,0.200,1.171,1.500,0.250,Narration,"Jackie tightens her grasp on Ives' shirt."
32,105.791,109.961,01:45.791,4.170,0.600,1.920,1.400,0.250,Jackie,"I... found out what happened to Ma."
33,109.961,112.965,01:49.961,3.003,0.500,1.253,1.000,0.250,Ives,"...You did?"
34,112.965,117.165,01:52.964,4.200,0.000,2.750,1.200,0.250,Jackie,"Yeah, she’s still hiding. But I think I see her shadow now."
35,117.165,124.626,01:57.164,7.461,0.400,5.411,1.400,0.250,Ives,"...You've been playing hide and seek with her for quite some time now. Haven't you."
36,124.626,129.502,02:04.625,4.877,0.300,2.827,1.500,0.250,Narration,"Jackie grasps harder. Tears begin to stream down her face. She nods."
37,129.502,134.300,02:09.502,4.798,0.000,3.348,1.200,0.250,Ives,"...Shit. C'mere, these arms still work."
38,134.300,138.803,02:14.299,4.503,0.200,2.533,1.520,0.250,Narration,"Ives rests her arms on Jackie's shoulders, and brings her close."
39,138.803,144.262,02:18.803,5.459,0.000,4.009,1.200,0.250,Ives,"You know. I expected you to haul me off earlier."
40,144.262,146.228,02:24.261,1.967,0.000,0.717,1.000,0.250,Jackie,"Y-you did?"
41,146.228,149.592,02:26.228,3.363,0.000,1.813,1.300,0.250,Ives,"Yeah. Glad I was wrong."
42,149.592,155.242,02:29.591,5.650,0.000,3.800,1.600,0.250,Ives,"Wouldn't be sitting here hearing about your Ma otherwise."
43,155.242,158.042,02:35.241,2.800,0.700,0.350,1.500,0.250,Jackie,"..."
44,158.042,163.192,02:38.041,5.150,0.400,3.000,1.500,0.250,Narration,"Jackie's breathing steadies. And she pushes herself up to face Ives."
45,163.192,166.791,02:43.191,3.599,0.200,2.049,1.100,0.250,Jackie,"It's about time we get going. Don't you think?"
46,166.791,169.708,02:46.790,2.917,0.200,1.467,1.000,0.250,Ives,"Yeah, I suppose so."
47,169.708,173.760,02:49.708,4.051,0.200,2.081,1.520,0.250,Narration,"Jackie puts her right shoulder under Ives' shoulder, propping her up."
48,173.760,179.087,02:53.759,5.327,0.000,3.877,1.200,0.250,Ives,"...You're the one helping me off the floor now."
49,179.087,183.317,02:59.086,4.230,0.000,2.740,1.240,0.250,Jackie,"...Why not, you my babysitter or something?"
50,183.317,187.004,03:03.316,3.687,0.300,1.737,1.400,0.250,Narration,"Jackie puts her fist out. Ives looks at it briefly."
51,187.004,191.575,03:07.003,4.571,0.000,3.291,1.030,0.250,Ives,"...Hah, no. Never was."
52,191.575,194.040,03:11.575,2.464,0.400,0.514,1.300,0.250,Narration,"And Ives meets it."
53,194.040,201.153,03:14.039,7.113,0.400,5.083,1.380,0.250,Ives,"Will you... take me with you one more time?"
54,201.153,206.026,03:21.152,4.873,0.000,3.383,1.240,0.250,Jackie,"Yeah. Wherever I am. Wherever I'll go."
55,206.026,210.230,03:26.026,4.203,0.000,2.353,1.600,0.250,Ives,"Good... That's good..."
56,210.230,216.261,03:30.229,6.031,1.500,2.481,1.800,0.250,Narration,"Ives lets out a long breath, before she closes her eyes and leans on Jackie's back."
57,216.261,221.562,03:36.260,5.301,0.800,2.651,1.600,0.250,Narration,"Feeling Ives' breath quiet on her back. Jackie rolls to the side and heaves upward."
58,221.562,227.041,03:41.562,5.479,0.600,3.129,1.500,0.250,Narration,"Standing against the wind and snow, Jackie turns towards the arm across her shoulder."
59,227.041,230.491,03:47.040,3.450,0.700,0.500,2.000,0.250,Jackie,"Any time."
60,230.491,236.805,03:50.490,6.314,1.200,2.364,2.500,0.250,Narration,"And begins the long trek back towards the firelight."
